location_variable,total_stops
10005,276
10050,14
10053,171
10089,49
10093,36
10108,8
10138,33
10347,84
10456,46
10499,43
10524,157
10570,268
10616,119
10681,27
10739,46
10748,35
10756,139
10783,12
10800,21
10816,15
10909,20
10979,25
11001,190
11043,207
11154,9
11168,26
11230,19
11382,45
11416,39
11450,41
11701,24
11712,8
11716,69
11755,32
11775,22
11856,18
11886,14
11967,51
12119,106
12148,27
12168,15
12192,39
12209,92
12391,33
12419,194
12528,40
12536,33
12571,11
12664,675
12675,10
12717,12
12722,188
12767,27
12819,94
12841,50
12952,306
12977,39
13144,15
13145,183
13160,48
13164,67
13282,21
13317,141
13416,42
13440,50
13556,177
13580,17
13797,432
13834,7
13908,11
13948,39
14090,195
14102,136
14222,105
14255,51
14263,64
14351,58
14359,24
14367,43
14369,17
14389,12
14485,47
14579,23
14728,109
14765,47
14789,61
14937,123
14947,65
14948,32
14956,36
14963,103
14993,23
15069,23
15071,35
15134,23
15165,4
15169,37
15198,81
15239,93
15280,29
15291,51
15369,44
15370,32
15398,39
15415,53
15420,41
15494,11
15523,26
15524,49
15525,87
15546,97
15577,129
15716,23
15758,36
15867,94
15902,68
15959,35
15960,55
16030,21
16069,24
16096,142
16147,32
16168,33
16205,16
16247,12
16269,46
16374,95
16441,11
16706,96
16725,121
16812,79
16846,22
16860,130
16950,43
17061,52
17084,64
17114,19
17315,18
17324,90
17349,175
17360,117
17427,73
17588,73
17654,109
17657,21
17803,98
17871,103
17874,18
17950,62
17959,35
18008,12
18078,36
18084,22
18087,81
18162,125
18172,354
18329,25
18404,42
18420,12
18459,11
18485,122
18520,21
18654,72
19014,43
19027,119
19175,184
19208,25
19283,87
19381,24
19398,29
19430,779
19479,10
19489,77
19499,67
19503,30
19657,27
19680,68
19774,66
20047,47
20108,20
20149,34
20300,48
20329,129
20425,64
20467,106
20468,40
20486,68
20496,68
20516,3
20519,124
20596,86
20626,141
20736,88
20753,67
20755,157
20916,33
20925,149
20968,12
21045,8
21055,23
21060,34
21186,43
21210,19
21220,50
21257,47
21324,65
21377,48
21555,18
21557,27
21600,32
21779,65
21832,19
21919,19
21965,13
21996,62
22121,35
22419,38
22450,37
22453,27
22567,58
22704,31
22763,43
22820,2559
22882,161
22922,7
22950,101
23007,41
23173,23
23413,23
23438,8
23443,119
23604,53
23620,15
23669,140
23678,60
23683,136
23714,136
23729,9
23741,76
23817,19
23857,69
23859,47
23893,338
23894,139
23912,36
24013,6
24018,16
24030,36
24144,16
24203,7
24260,18
24405,128
24437,53
24610,50
24623,22
24758,8
24910,37
24955,19
25173,63
25381,43
25399,40
25663,40
25680,215
25685,147
25692,9
25693,59
26027,32
26034,49
